#Coverage (X)	Coverage
1.0	92.2560496129187
2.0	86.36128031946424
3.0	75.62182747560036
4.0	61.18029172944547
5.0	45.626052748156624
6.0	31.47391247228107
7.0	20.222083054610266
8.0	12.187939107840762
9.0	6.962624029123447
10.0	3.7951674178967494
11.0	2.0061905082258704
12.0	1.0483308983408648
13.0	0.5657486046922031
14.0	0.32462405704865205
15.0	0.20135652986283503
16.0	0.13752841706028107
17.0	0.10402770179446463
18.0	0.08526228740359443
19.0	0.07266262936030898
20.0	0.06322359577518455
21.0	0.056189937028690906
22.0	0.05031929922991196
23.0	0.045115058154237886
24.0	0.04026781532307666
25.0	0.03582041052578688
26.0	0.03200290929771654
27.0	0.02888988460549058
28.0	0.02582128636147729
29.0	0.023070019890369053
30.0	0.02062656523898454
31.0	0.018429042711602506
32.0	0.016558371910321057
33.0	0.014968539728059227
34.0	0.01361511971660434
35.0	0.012366419190215083
36.0	0.01128431784459849
37.0	0.01036564236203219
38.0	0.009565966294303507
39.0	0.008891636276871395
40.0	0.008188746399881097
41.0	0.007639762432745556
42.0	0.007178044703167075
43.0	0.006732193562228872
44.0	0.006327595551766763
45.0	0.005915064246991619
46.0	0.00549301298902094
47.0	0.00512173481472189
48.0	0.004752043299291131
49.0	0.00445057811502636
50.0	0.004099926505958251
51.0	0.003806394616020725
