#Position (bp)	mapping quality
78782.5	54.36355799716552
236346.5	58.5287017043391
393910.5	58.67966010784725
551474.5	58.64520601284541
709038.5	58.63993388265414
866602.5	58.879404996528635
1024166.5	58.89473957937438
1181730.5	57.752655635965944
1339294.5	58.42081988861921
1496858.5	58.11136937995886
1654422.5	57.68059209403707
1811986.5	58.9689727148201
1969550.5	58.937333597042404
2127114.5	59.092405904672226
2284678.5	58.617230151768865
2442242.5	58.00289556562529
2599806.5	58.49818676886656
2757370.5	58.43435958987086
2914934.5	58.84524189949003
3072498.5	58.1689739124506
3230062.5	58.74325682527908
3387626.5	58.48488055722573
3545190.5	56.66532922061196
3702754.5	58.74006985466201
3860318.5	58.118138424821005
4017882.5	58.003561964873036
4175446.5	58.43188334058187
4333010.5	56.46879530886644
4490574.5	58.87044669065277
4648138.5	58.88393040460437
4805702.5	58.86564185025286
4963266.5	58.44397178191051
5120830.5	58.48572631759647
5278394.5	57.95143330211612
5435958.5	56.39177736658712
5593522.5	58.509938505706145
5751086.5	58.27512701370982
5908650.5	58.9214909706071
6066214.5	58.79706818143085
6223778.5	56.78614532060279
6381342.5	58.54902966317342
6538906.5	59.02138531440226
6696470.5	58.99293198048655
6854034.5	58.96882344761856
7011598.5	58.36927382206793
7169162.5	56.55468144421024
7326726.5	58.581615388820595
7484290.5	58.98072827072185
7641854.5	58.49328096793155
7799418.5	59.07905580955624
7956982.5	58.993279460368015
8114546.5	57.900719405344724
8272110.5	58.92180671474489
8429674.5	58.637338803815524
8587238.5	56.20118686234072
8744802.5	58.915605588796325
8902366.5	59.011965703292574
9059930.5	59.10477469660087
9217494.5	58.43675311151882
9375058.5	58.77323790650719
9532622.5	59.14981981457937
9690186.5	58.13685525454574
9847750.5	57.723059380107706
1.00053145E7	58.66814771403065
1.01628785E7	58.893560559557166
1.03204425E7	58.44916945309714
1.04780065E7	58.835390763242096
1.06355705E7	59.00049195452278
1.07931345E7	58.861159422183604
1.09506985E7	58.90011022660873
1.11082625E7	58.99797200891354
1.12658265E7	59.125879642991045
1.14233905E7	58.74615413185794
1.15809545E7	57.236795501383256
1.17385185E7	58.664977886418576
1.18960825E7	59.00917043050712
1.20536465E7	57.795811876390545
1.22112105E7	59.19775692723741
1.23687745E7	56.31469487542185
1.25263385E7	56.63711507466636
1.26839025E7	56.541040129850536
1.28414665E7	56.88726321255403
1.29990305E7	58.87017564974358
1.31565945E7	59.165775553811564
1.33141585E7	58.023883014526646
1.34717225E7	58.26482875160462
1.36292865E7	58.226732440810565
1.37868505E7	58.765863452749365
1.39444145E7	58.77310649013034
1.41019785E7	58.996135745523226
1.42595425E7	57.559505310765246
1.44171065E7	58.41459180453931
1.45746705E7	58.875362992702556
