#Read position (bp)	Clipping profile
0.0	2.5331194004399338
1.0	2.4104186807262966
2.0	2.3360443047167414
3.0	2.285729618024529
4.0	2.054638334824098
5.0	1.9133920665706103
6.0	1.83036950730413
7.0	1.7762777080954313
8.0	1.737811771626168
9.0	1.5766081573951614
10.0	1.478092784362429
11.0	1.4181246555047942
12.0	1.3782099635497556
13.0	1.3494270356843998
14.0	1.2322921980156043
15.0	1.1571860526535398
16.0	1.1124298563965473
17.0	1.0820651240722328
18.0	1.0594689734599083
19.0	0.9694761263205388
20.0	0.9130337952522657
21.0	0.8781823558878198
22.0	0.8544626806130572
23.0	0.8373806707782249
24.0	0.7685795684231324
25.0	0.7241264281606135
26.0	0.6974722838661932
27.0	0.6790893507380116
28.0	0.6657179289330737
29.0	0.6107908778371678
30.0	0.5771294876217519
31.0	0.5550359664636758
32.0	0.5413171390065366
33.0	0.5321145850280138
34.0	0.491926403516987
35.0	0.5302001581360962
36.0	0.5219511217987216
37.0	0.5129555328895953
38.0	0.5078774970797598
39.0	0.4805285414809371
40.0	0.46761539947251995
41.0	0.465449657853478
42.0	0.4594254960121157
43.0	0.45672755850033997
44.0	0.4377459049928327
45.0	0.43191392500162434
46.0	0.43623801663008677
47.0	0.4337026945299798
48.0	0.4334218133643702
49.0	0.42171350372422556
50.0	0.42201655971869895
51.0	0.4324609041136008
52.0	0.43249047055208595
53.0	0.4357206039565956
54.0	0.43161086900715084
55.0	0.4382041847893535
56.0	0.45663885918488434
57.0	0.45907069875029316
58.0	0.46525008439370286
59.0	0.4665731825159162
60.0	0.4797302476418363
61.0	0.5069905039252034
62.0	0.5118246166175359
63.0	0.5206132404572658
64.0	0.5288992348427468
65.0	0.48778710212905707
66.0	0.5283300809019065
67.0	0.5374143691264884
68.0	0.5520719310055332
69.0	0.5736110814420113
70.0	0.6085660033411554
71.0	0.6631012991271322
72.0	0.6773744973058692
73.0	0.6962896263267847
74.0	0.7240081624066727
75.0	0.7674116941029665
76.0	0.8382454891039174
77.0	0.8565397229166435
78.0	0.8803554891164831
79.0	0.9159608726623019
80.0	0.9725658191422437
81.0	1.0612133933305359
82.0	1.083092557809594
83.0	1.1133168495511039
84.0	1.1594626684169014
85.0	1.2340735759343382
86.0	1.3518810500786727
87.0	1.380590061847815
88.0	1.4206969356530077
89.0	1.480679847729885
90.0	1.5789586892547356
91.0	1.7375752401182867
92.0	1.7757233373738337
93.0	1.8289651014760822
94.0	1.9116772131384678
95.0	2.0496859563778247
96.0	2.2825807923258536
97.0	2.3326663391198057
98.0	2.4051262882374433
99.0	2.52929793826572
