#Position (bp)	Coverage
78782.5	3.04067553502069
236346.5	4.8055710695336495
393910.5	4.650192937473027
551474.5	4.71053667081313
709038.5	4.596018125967861
866602.5	4.534132162169024
1024166.5	4.759227996242797
1181730.5	4.851438145769338
1339294.5	4.7146365921149505
1496858.5	4.31951460993628
1654422.5	4.277290497829453
1811986.5	4.475755883323602
1969550.5	4.5887321977101365
2127114.5	4.583153512223604
2284678.5	4.775583255058262
2442242.5	4.776027518976416
2599806.5	4.712986468990379
2757370.5	4.53161255109035
2914934.5	4.806288238430098
3072498.5	4.468114543931355
3230062.5	4.48337183620624
3387626.5	4.623302277169912
3545190.5	4.952546266913762
3702754.5	4.284709705262624
3860318.5	4.430288644614252
4017882.5	4.76625371277703
4175446.5	4.4362417811175145
4333010.5	4.9288796933309635
4490574.5	4.923250234825214
4648138.5	4.791291157878703
4805702.5	4.546857150110431
4963266.5	4.659306694422584
5120830.5	4.732286562920464
5278394.5	4.994535553806707
5435958.5	4.901392450052042
5593522.5	4.71758142722957
5751086.5	4.971820974334239
5908650.5	5.124736614962809
6066214.5	4.841226422279201
6223778.5	4.815852605925211
6381342.5	4.888477063288568
6538906.5	4.876310578558554
6696470.5	4.756365667284405
6854034.5	4.701257901551116
7011598.5	4.619754512452083
7169162.5	4.666992460206647
7326726.5	4.527690335355792
7484290.5	4.523254042801655
7641854.5	4.5457655301972535
7799418.5	4.5850511538168615
7956982.5	4.595269223934401
8114546.5	4.777138178771801
8272110.5	4.69942372623188
8429674.5	4.594228377040441
8587238.5	4.773089030489198
8744802.5	4.671397019623772
8902366.5	4.592216496153944
9059930.5	4.659052829326496
9217494.5	4.47973521870478
9375058.5	4.7495430428270415
9532622.5	4.582480769718972
9690186.5	4.770709045213374
9847750.5	4.636300170089615
1.00053145E7	4.656615724404052
1.01628785E7	4.704304282704171
1.03204425E7	4.716718285902871
1.04780065E7	4.845605595186718
1.06355705E7	4.5539971059379045
1.07931345E7	4.857042217765479
1.09506985E7	4.876856388515143
1.11082625E7	4.750602929603209
1.12658265E7	4.705986138965754
1.14233905E7	4.613674443400777
1.15809545E7	4.6409522479754255
1.17385185E7	4.68386179584169
1.18960825E7	4.440354395674139
1.20536465E7	4.361586402985454
1.22112105E7	4.623295930542509
1.23687745E7	4.558553984412683
1.25263385E7	4.748940113223833
1.26839025E7	4.500539463329187
1.28414665E7	4.705611687949024
1.29990305E7	4.745976238227006
1.31565945E7	4.666186438526567
1.33141585E7	4.733327409814424
1.34717225E7	4.8599870528801
1.36292865E7	4.784677972125612
1.37868505E7	4.782539158691072
1.39444145E7	4.667855601533345
1.41019785E7	4.613484044578711
1.42595425E7	4.566284176588561
1.44171065E7	4.646600746363383
1.45746705E7	4.558998248330837
1.47322345E7	4.575118681932421
1.48897985E7	4.652465030083014
1.50473625E7	4.622585108273464
1.52049265E7	4.771902211164987
1.53624905E7	4.690379782183747
1.55200545E7	4.716883298215328
1.56776185E7	4.595047091975324
1.58351825E7	4.859263537356249
1.59927465E7	4.864854916097586
1.61503105E7	4.5811162448274985
1.63078745E7	4.646987890634916
1.64654385E7	4.697062780838262
1.66230025E7	4.505464446193293
1.67805665E7	4.673364474118453
1.69381305E7	4.531403112386078
1.70956945E7	4.5420210200299564
1.72532585E7	4.692924779772029
1.74108225E7	4.778680409230535
1.75683865E7	4.536156736310325
1.77259505E7	4.673510446548704
1.78835145E7	4.755692924779772
1.80410785E7	4.4212002741743035
1.81986425E7	4.737008453707699
1.83562065E7	4.786651773247696
1.85137705E7	4.827873118224975
1.86713345E7	4.701257901551116
1.88288985E7	4.803794013861034
1.89864625E7	4.831008352161661
1.91440265E7	4.547732984691935
1.93015905E7	4.694993780305146
1.94591545E7	4.694276611408697
1.96167185E7	4.681887994719606
1.97742825E7	4.597350917722323
1.99318465E7	4.5052867406260315
2.00894105E7	4.879509278769262
2.02469745E7	4.7215924957477595
2.04045385E7	4.694213145134675
2.05621025E7	5.045403772435328
2.07196665E7	4.860412276916047
2.08772305E7	4.906653804168465
2.10347945E7	4.698877916275292
2.11923585E7	4.753598537737046
2.13499225E7	4.728732451575233
2.15074865E7	4.511062171562032
2.16650505E7	4.538098804295397
2.18226145E7	4.561118021883171
2.19801785E7	4.537584727475819
2.21377425E7	4.575017135893986
2.22953065E7	4.393135487801782
2.24528705E7	4.438786778705795
2.26104345E7	4.318372217003884
2.27679985E7	4.460834962301033
2.29255625E7	4.496122210657257
2.30831265E7	4.254207813967658
2.32406905E7	4.523114416998807
2.33982545E7	4.61007590566373
2.35558185E7	4.4936089462059865
2.37133825E7	4.643091061409967
2.38709465E7	4.579396308801503
2.40285105E7	4.427013784874718
2.41860745E7	4.486678429082786
2.43436385E7	4.704875479170369
2.45012025E7	4.563415501002767
2.46587665E7	4.3564075550252594
2.48163305E7	4.561390926861466
2.49738945E7	4.495779492777538
2.51314585E7	4.766025234190551
2.52890225E7	4.61281764870148
2.54465865E7	4.466553273590414
2.56041505E7	4.822618110735955
2.57617145E7	5.163133710746109
2.59192785E7	6.121265009773806
2.60768425E7	5.580995658906857
2.62344065E7	6.544470818207205
2.63919705E7	0.34380315300449343
2.65495345E7	0.0
2.67070985E7	0.0
2.68646625E7	0.0
2.70222265E7	0.0
2.71797905E7	0.0
2.73373545E7	0.0
2.74949185E7	0.0
2.76524825E7	0.0
2.78100465E7	0.0
2.79676105E7	0.0
